docx_name,guideline_key,id,control_description,control_requirement
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1,Data center security - Environmental requirements,Environmental safeguards must be considered for data center locations.
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.1,Data center security - Environmental requirements,Areas susceptible to flooding and floodplains must be avoided. (ENV01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.2,Data center security - Environmental requirements,Production and storage facilities or pipelines which are at risk of explosion must be avoided. (ENV02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.3,Data center security - Environmental requirements,Operating and storage facilities with harmful emissions or the release of pollutants must be avoided. (ENV03.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.4,Data center security - Environmental requirements,Sources of electromagnetic interference must be avoided. (ENV04.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.5,Data center security - Environmental requirements,Sources of vibration must be avoided. (ENV05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.6,Data center security - Environmental requirements,"Transport routes with an increased volume of hazardous materials must be avoided. (ENV06.01, ENV06.01I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.7,Data center security - Environmental requirements,Properties in the neighborhood which are at risk of being attacked must be avoided. (ENV07.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.8,Data center security - Environmental requirements,Locations in the vicinity of major events and access routes leading to them must be avoided. (ENV08.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.9,Data center security - Environmental requirements,Locations must be protected against impairment by structures at risk of collapse. (ENV09.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.10,Data center security - Environmental requirements,Locations must be outside avalanche areas. (ENV10.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.11,Data center security - Environmental requirements,Wildfire hazards must be avoided (ENV11.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2,Data center security - Construction requirements,Data center locations must meet the following constructional criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.1,Data center security - Construction requirements,"Security areas must be in inconspicuous, unexposed position. (CON01.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.2,Data center security - Construction requirements,Building areas with potential hazards must be avoided. (CON01.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.3,Data center security - Construction requirements,Contiguous security areas must exist. (CON01.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.4,Data center security - Construction requirements,There must be a functional room layout with fire separation. (CON01.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.5,Data center security - Construction requirements,"Area, height, structural properties, and transportation routes must be sufficiently dimensioned. (CON01.05)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.6,Data center security - Construction requirements,Areas of responsibility for the technical and IT personnel must be physically separated. (CON01.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.7,Data center security - Construction requirements,Perimeter and front area must be secured. (CON01.08)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.8,Data center security - Construction requirements,Parking opportunities must not exist along the external walls of IT rooms. (CON01.09)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.9,Data center security - Construction requirements,Alternative access routes must be available. (CON01.10A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.10,Data center security - Construction requirements,Reserved areas must be provided if the concept of operation provides for the temporary use of technical installations. (CON01.11)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.11,Data center security - Construction requirements,Renting parts of the data center to a third party must be limited. (CON02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.12,Data center security - Construction requirements,Data center buildings must have a lightning protection system. (CON03.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.13,Data center security - Construction requirements,Data center buildings must have a protective type of construction. (CON04.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.14,Data center security - Construction requirements,IT zones must have intrusion resistant security boundaries. (CON04.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.15,Data center security - Construction requirements,Technical zones must be secured in accordance with EN 1627. (CON04.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.16,Data center security - Construction requirements,Windows in the security area must be avoided. (CON04.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.17,Data center security - Construction requirements,All access possibilities for individuals to IT and technical rooms must be secured. (CON04.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.18,Data center security - Construction requirements,Transfer points of supply networks and outdoor installations must be protected. (CON04.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.19,Data center security - Construction requirements,A protective zone shell model must be implemented. (CON04.07A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.20,Data center security - Construction requirements,Outer protection zone boundaries must be implemented. (CON04.08A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.21,Data center security - Construction requirements,Combustible finishing materials and furnishings must be avoided. (CON05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.22,Data center security - Construction requirements,"Doors, windows, and shutters must be secured against fire and smoke. (CON05.02)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.23,Data center security - Construction requirements,Fire stops must be properly executed. (CON05.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.24,Data center security - Construction requirements,Compliance with temperature and humidity limits must be ensured in the case of ambient fires. (CON05.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.25,Data center security - Construction requirements,Lithium-Ion batteries must be protected from fire. (CON05.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.26,Data center security - Construction requirements,Photovoltaic systems must have additional protection. (CON05.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.27,Data center security - Construction requirements,Critical rooms must have structural water protection. (CON06.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.28,Data center security - Construction requirements,Liquid-carrying pipes must be protected against leaking water. (CON06.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.29,Data center security - Construction requirements,Escape routes must be marked and include emergency lighting. (CON08.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3,Data center security - Fire protection and extinguishing system requirements,The following criteria apply to fire protection and extinguishing system:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.1,Data center security - Fire protection and extinguishing system requirements,Advanced and appropriate fire alarm systems must be used. (FIR01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.2,Data center security - Fire protection and extinguishing system requirements,IT and technical areas must be monitored for fire. (FIR01.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.3,Data center security - Fire protection and extinguishing system requirements,Adjacent rooms must be monitored for fire. (FIR01.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.4,Data center security - Fire protection and extinguishing system requirements,The security area (incl. IT rooms) must have sufficient smoke detector density. (FIR01.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.5,Data center security - Fire protection and extinguishing system requirements,Smoke detector types must be relative to the form of room use. (FIR01.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.6,Data center security - Fire protection and extinguishing system requirements,Very early fire detection systems must be used. (FIR01.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.7,Data center security - Fire protection and extinguishing system requirements,CO2 portable fire extinguisher must be installed. (FIR01.07)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.8,Data center security - Fire protection and extinguishing system requirements,Technical rooms must be protected from fire. (FIR01.08)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.9,Data center security - Fire protection and extinguishing system requirements,IT rooms must have firefighting solutions in place. (FIR02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.10,Data center security - Fire protection and extinguishing system requirements,Extinguishing batteries and oxygen reduction system must be monitored. (FIR02.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.11,Data center security - Fire protection and extinguishing system requirements,Extinguishing batteries and oxygen reduction system must be positioned away from hazards. (FIR02.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.12,Data center security - Fire protection and extinguishing system requirements,Fire protection dampers must be controlled via a fire alarm system signal. (FIR02.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.13,Data center security - Fire protection and extinguishing system requirements,Smoke and gas extraction systems must be controlled. (FIR02.05A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,3.14,Data center security - Fire protection and extinguishing system requirements,"Fire alarm systems, fire extinguishing systems and fire protection shutters must be maintained at least on an annual basis. (FIR03.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4,Data center security - Security systems and organizational requirements,Security systems and organizational measures must meet the following criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.1,Data center security - Security systems and organizational requirements,An appropriate access control system using state-of-the-art technology must be used. (SEC01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.2,Data center security - Security systems and organizational requirements,Central data base of the access control system must be protected. (SEC01.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.3,Data center security - Security systems and organizational requirements,Cables must be laid sabotage-protected and must be monitored. (SEC01.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.4,Data center security - Security systems and organizational requirements,Technical components of the access security system must be provided with a back-up power supply. (SEC01.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.5,Data center security - Security systems and organizational requirements,Suitable readers must be used for the access control system. (SEC01.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.6,Data center security - Security systems and organizational requirements,Identification devices (IDD) of the access control system must be issued and used in a secure way. (SEC01.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.7,Data center security - Security systems and organizational requirements,Access attempts through doors secured with the access control system must be logged and data must be stored for at least 30 days. (SEC01.07)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.8,Data center security - Security systems and organizational requirements,"Besides the IDD, a second factor (knowledge or biometrics) must be used for access to IT rooms or the entire security area. (SEC01.08)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.9,Data center security - Security systems and organizational requirements,A security zone concept must exist. (SEC01.09)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.10,Data center security - Security systems and organizational requirements,Doors to rooms which are important for IT or strategically important (e.g. technical security center) must have door open time monitoring including alarm forwarding to a permanently manned office after 2 minutes. (SEC01.10)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.11,Data center security - Security systems and organizational requirements,An appropriate state-of-the-art intrusion detection system must be used. (SEC02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.12,Data center security - Security systems and organizational requirements,Intrusion detection system in the IT areas must be equipped with motion detectors. (SEC02.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.13,Data center security - Security systems and organizational requirements,All plant rooms or the entire technical area must be monitored. (SEC02.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.14,Data center security - Security systems and organizational requirements,Access to all IT and telecommunication rooms must be incorporated into the intrusion detection system monitoring. (SEC02.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.15,Data center security - Security systems and organizational requirements,Reliable remote data transmission of the intrusion detection system must be ensured. (SEC02.06A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.16,Data center security - Security systems and organizational requirements,"Corridors and accesses to the IT rooms, as well as readily accessible external areas and external boundaries of the security area, must be monitored with video cameras. (SEC03.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.17,Data center security - Security systems and organizational requirements,Security zone borders must be monitored. (SEC04.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.18,Data center security - Security systems and organizational requirements,An effectively implemented single person separation system must be used to provide access to the IT area or to the entire secure area. (SEC05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.19,Data center security - Security systems and organizational requirements,Components of the electronic security systems must be maintained at least annually. Components of the access control system must be inspected at least annually. (SEC06.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.20,Data center security - Security systems and organizational requirements,The issuance of IDD must be carried out in a formalized and transparent manner and unused access cards must be stored in a secure place. (SEC06.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.21,Data center security - Security systems and organizational requirements,Monitoring of alarms must be regulated and carried out 24/365 a year by a security service provider with a permanently manned control center. (SEC06.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.22,Data center security - Security systems and organizational requirements,Trained security personnel must be available in close proximity to the data center. (SEC06.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,4.23,Data center security - Security systems and organizational requirements,Optical monitoring or locking systems on the server racks that protect against unauthorized access must be installed.
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5,Data center security - Cabling requirements,Data center cabling must meet the following criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.1,Data center security - Cabling requirements,WAN routes as far as to the facility transfer point (external network interface) must run on separate paths without any particular hazards due to fire and mechanical influences and external network interface must be redundant. (CAB01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.2,Data center security - Cabling requirements,The communication cabling must run in an adequate manner. (CAB01.02E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.3,Data center security - Cabling requirements,Telecommunication cable routing must be separated and redundant. (CAB01.03E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.4,Data center security - Cabling requirements,Cables must be laid in an organized manner. (CAB01.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.5,Data center security - Cabling requirements,Rack infeed connection must be secured against accidental loosening. (CAB01.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.6,Data center security - Cabling requirements,Crossing points must be adequately separated. (CAB01.06E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.7,Data center security - Cabling requirements,Data cables must be protected against sources of interference. (CAB01.07E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.8,Data center security - Cabling requirements,Cabinets and racks must offer appropriate cable routing. (CAB02.01E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.9,Data center security - Cabling requirements,WAN must be supplied by at least two different providers. (CAB03.01E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,5.10,Data center security - Cabling requirements,The WAN connection must be redundant. (CAB03.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6,Data center security - Power requirements,The power supply in the data centers must meet the following criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.1,Data center security - Power requirements,The energy supply in the building must be based on a 5-wire network and at least the IT area must be included in the TN-S structure. (POW01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.2,Data center security - Power requirements,A secondary or an additional power supply must be available in addition to the primary power supply. (POW01.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.3,Data center security - Power requirements,The redundant connection to the mains must be either two supplies from separate and independent primary and secondary sources or two supplies from one primary source. (POW01.02A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.4,Data center security - Power requirements,Primary and secondary supply lines must be routed on separate paths. (POW01.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.5,Data center security - Power requirements,Secondary of additional supply must automatically take over all critical load if the primary supply fails (and vice versa). (POW01.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.6,Data center security - Power requirements,Additional supply must be available for all supply paths. (POW01.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.7,Data center security - Power requirements,Power supply for the IT devices must be redundant. (POW01.06)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.8,Data center security - Power requirements,Couplings between redundant low-voltage distributions must be protected against erroneous switching operations. (POW01.07A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.9,Data center security - Power requirements,Transformers must have sufficient power reserves. (POW01.08A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.10,Data center security - Power requirements,Supply lines must be protected against external influences. (POW02.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.11,Data center security - Power requirements,IT power distribution units must have their own supply line without branches. (POW02.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.12,Data center security - Power requirements,UPS distribution boards must be without external consumers. (POW02.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.13,Data center security - Power requirements,Energy supply must have staggered overvoltage protection. (POW05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.14,Data center security - Power requirements,All electricity lines must be equipped with appropriate staggered overvoltage protection. (POW05.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.15,Data center security - Power requirements,"All metallic objects must be grounded, and floor coverings reduce the risk of electrostatic charges. (POW07.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.16,Data center security - Power requirements,Leakage currents must be monitored. (POW08.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.17,Data center security - Power requirements,Central fault current protection devices and emergency power off switches must be avoided. (POW08.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.18,Data center security - Power requirements,"Important measured values of the IT supply network (e.g. voltages, currents, apparent and effective power) must be recorded and monitored. (POW08.03)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.19,Data center security - Power requirements,Voltage quality and design of measuring devices must be recorded and monitored. (POW08.04A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.20,Data center security - Power requirements,Energy supply to the IT consumers must be secured by a central UPS. (POW09.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.21,Data center security - Power requirements,UPS systems must be able to be decoupled via a manual maintenance bypass. (POW09.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.22,Data center security - Power requirements,UPS system must have a component redundancy of n+1 or a second active supply system available. (POW09.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.23,Data center security - Power requirements,Batteries must ensure that risk of individual block failures is minimized. (POW09.07)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.24,Data center security - Power requirements,Additional supplies must have sufficient power reserves. (POW10.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.25,Data center security - Power requirements,Sufficient fuel reserve for additional supply must be maintained. (POW10.05)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.26,Data center security - Power requirements,"Tank system and fuel pipes to the additional supply must be protected, controlled, and monitored. (POW10.06)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.27,Data center security - Power requirements,Operational readiness of the additional supply must be regularly tested by load test runs. (POW10.07)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.28,Data center security - Power requirements,"When the data center load is insufficient and it is therefore not possible to run the system in parallel with the mains for a function check, a load bank must be available. (POW10.07A)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.29,Data center security - Power requirements,Mains switching control of the additional supply must be securely installed. (POW10.08)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.30,Data center security - Power requirements,A complete calculation of the load flow and short circuit currents must be carried out. (POW11.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.31,Data center security - Power requirements,Operating states of the electric power supply and the availability of the supply voltage must be monitored. (POW11.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.32,Data center security - Power requirements,Technical fault messages must be reliably transmitted to a permanently manned location. (POW11.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.33,Data center security - Power requirements,Electrical systems must be maintained at least once a year on the basis of a maintenance agreement and the performance must be logged. (POW11.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,6.34,Data center security - Power requirements,"Upon initial commissioning, function and integration tests under full and partial load must be carried out. Upon the exchange of systems, at least limited function and integration tests must be carried out. (POW11.05)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7,Data center security - Air conditioning and ventilation,Data centers must meet the following air conditioning and ventilation criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.1,Data center security - Air conditioning and ventilation,Data Center areas must comply with secure operational conditions. (ACV01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.2,Data center security - Air conditioning and ventilation,Data Center areas and technical components must have sufficient ventilation. (ACV01.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.3,Data center security - Air conditioning and ventilation,Devices must be installed in an airflow-optimized and hazard-free way. (ACV02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.4,Data center security - Air conditioning and ventilation,Leakages must be reliably detected. (ACV03.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.5,Data center security - Air conditioning and ventilation,"Active mechanical components (on the producer, distributor side) must be designed redundantly. (ACV04.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.6,Data center security - Air conditioning and ventilation,Singular cooling distribution systems or sections must be implemented in high quality and checked by extensive quality assurance measures. (ACV04.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.7,Data center security - Air conditioning and ventilation,"Cooling distribution must be designed in a way that a failure of passive components does not result in a failure of the IT. (ACV04.02E, ACV04.02I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.8,Data center security - Air conditioning and ventilation,The plant must be designed in a way that maintenance can be carried out to active components at any time without interruptions to operations. (ACV04.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.9,Data center security - Air conditioning and ventilation,The routes must be protected against third-party influence and fire. (ACV04.04)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.10,Data center security - Air conditioning and ventilation,"Circulating air cooling units or comparable technology must be redundant (n+1) for IT and telecommunication rooms as well as singular UPS rooms. (ACV04.05, ACV04.05E, ACV04.05I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.11,Data center security - Air conditioning and ventilation,Filtering of the room air must be sufficiently dimensioned for the IT rooms. (ACV05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.12,Data center security - Air conditioning and ventilation,External air supply must be protected. (ACV05.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.13,Data center security - Air conditioning and ventilation,Components in the central mechanical room must be separated. (ACV06.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.14,Data center security - Air conditioning and ventilation,Cooling towers must be protected against tampering. (ACV07.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.15,Data center security - Air conditioning and ventilation,Cooling towers must be sufficiently dimensioned and installed in an operationally reliable way. (ACV07.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.16,Data center security - Air conditioning and ventilation,Cooling systems must be in a plan-compliant design and maintenance-friendly. (ACV08.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.17,Data center security - Air conditioning and ventilation,"Components of the air-conditioning system must have secure electrical supply. (ACV09.01, ACV09.01I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.18,Data center security - Air conditioning and ventilation,The water supply must be ensured at all times by a redundant connection or storage. (ACV09.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.19,Data center security - Air conditioning and ventilation,Water supply systems must be implemented in the same availability as the air conditioning systems whose supply they must ensure. (ACV09.02A)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.20,Data center security - Air conditioning and ventilation,"After power failures, critical controls must restart automatically after power recovery. (ACV09.03)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.21,Data center security - Air conditioning and ventilation,"When high-level controls are used, the critical subordinate units must be equipped with autonomous controls or redundant systems must operate with their own high-level controls. (ACV09.03A)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.22,Data center security - Air conditioning and ventilation,"Important operating states of the main components, as well as the pumped media, must be automatically recorded and monitored. (ACV10.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.23,Data center security - Air conditioning and ventilation,Room temperature and humidity in IT rooms must be monitored. (ACV10.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.24,Data center security - Air conditioning and ventilation,"Temperature and humidity of air supplied from outside must be measured. (ACV10.03E, ACV10.03I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.25,Data center security - Air conditioning and ventilation,"Tests for tightness, corrosion protection and insulation must be evidenced by acceptance documents. (ACV11.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.26,Data center security - Air conditioning and ventilation,All components of the air-conditioning system must be maintained at least once per year and regularly inspected. (ACV11.02)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.27,Data center security - Air conditioning and ventilation,Technical fault messages must be transmitted securely to a permanently manned office and immediately assessed and rectified by specialized personnel. (ACV11.03)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,7.28,Data center security - Air conditioning and ventilation,"Upon initial commissioning, full load, function, and integration tests must be performed and documented. Upon the exchange of systems, limited function tests must be carried out and test certificates from the manufacturer must be available. (ACV11.04)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8,Data center security - Organizational requirements,Organizational measures must meet the following criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.1,Data center security - Organizational requirements,Backup data must be transferred to a different fire compartment and at least once per week to a different building. (ORG01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.2,Data center security - Organizational requirements,Secure area must be equipped with smoking ban signs. (ORG02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.3,Data center security - Organizational requirements,"IT rooms, all relevant technical rooms, routes, and external installations must undergo a visual inspection at least once a week and the performance of the inspection must be recorded. (ORG03.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.4,Data center security - Organizational requirements,"Operations must comply in terms of adherence to the rules, tidiness, cleanliness, accessibility, inscriptions, signs, and disposal. (ORG04.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.5,Data center security - Organizational requirements,Responsibilities for the implementation of physical security measures must be defined. People authorized to enter protection class 4 must require additional authorization to take people with them. (ORG05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.6,Data center security - Organizational requirements,Relevant parameters of technical component operations must be recorded and regularly evaluated according to defined responsibilities. (ORG05.02E)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.7,Data center security - Organizational requirements,"With respect to the letting of data center areas there must be – with reference to the customer – rules concerning physical security, energy efficiency, capacity planning, business organization and the exchange of information to which the customer must comply. Compliance must be verified. (ORG05.03E)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.8,Data center security - Organizational requirements,"Important key indicators (KPI, Key Performance Indicators) must be recorded, evaluated, and used for process improvement. (ORG05.04E)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.9,Data center security - Organizational requirements,"Processes between IT operation, lifecycle management and facility management must be coordinated. (ORG06.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.10,Data center security - Organizational requirements,Maintenance contracts with start of repair work latest on next working day must be concluded for all trades which are relevant to operations. (ORG07.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.11,Data center security - Organizational requirements,"Operating instructions must be available that describe the method of dealing with third-party personnel, the coordination process for maintenance windows, precautions for specific activities or switching operations, as well as special aspects of maintenance and repair work. (ORG08.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,8.12,Data center security - Organizational requirements,Personnel must be provided with safety instruction at least once per year and new employees at the beginning of their employment contract. (ORG09.01)
